"title","rating","poster","totalRatings","releaseDate","genres"
"The Silence of the Lambs (1991)","8.6","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","1,230,432","14 February 1991 (USA)","[""Crime"",""Drama"",""Thriller""]"
"Gone Girl (2014)","8.1","https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","830,462","3 October 2014 (USA)","[""Drama"",""Mystery"",""Thriller""]"
